DATE_TIME,POST
2024-03-20 19:14:59,밥줌마 시발년들아 반박해 ㅋㅋㅋ
2024-03-20 19:14:52,토트넘도 좋은팀이다 창민이만 빼면
2024-03-20 19:14:49, 챔스 8강 언제부터 하냐
2024-03-20 19:14:33,난로할머니 혼자고군분투 하는거 좀불쌍하다
2024-03-20 19:14:30,언론이 ㅍㅋ티비랑 다를바가없네 별풍좀 쏘면 기사쓰는겤ㅋ
2024-03-20 19:14:23,이강인 피싸면서 도게자박았네?
2024-03-20 19:14:17,창민이는 다 가졌는데
2024-03-20 19:14:15,진지하게 손흥민 vs 이강인 인기 누가 더 많음?
2024-03-20 19:14:07,그래서 파리세인트절메인 이새끼들
2024-03-20 19:14:00,20대 초중반한테 손흥민이나 감독이나 늙은건 마찬가지야
2024-03-20 19:13:57,강인이 누나가 광고 에이전트로 개꿀빨줄 알았는데 ㄹㅇ 천청벽력이었자나
2024-03-20 19:13:53,잠깐!!! 손흥민이 왜 대인배 이미지임..?
2024-03-20 19:13:48,해축갤이 찬밥갤 된 이유?
2024-03-20 19:13:46,결국 챔스에서의 GOAT가 축구 GOAT일수밖에 없음
2024-03-20 12:55:38,주장이라는 새끼가 토트넘 소속인데 기강이 서냐
2024-03-20 12:55:35,이강인이 대국민 도게자 박아야 하는 이유.JPG
2024-03-20 12:55:25,홀란드나 음바페 둘다 축구도사 스타일은 아니어서
2024-03-20 12:55:14,손뽕 118.235 크트정신병자년 죽여야되겠는데? 피뎁 다 따놓음
2024-03-20 12:54:47,찬밥이랑 짜이는 챔스 얘기할 때 무관민은..
2024-03-20 12:54:45,"개추요청) ""경기중 폭탄, 오타니 해칠것""...테러 예고"
2024-03-20 12:54:41,이강인은 이미 개새끼의 아이콘 됨
2024-03-20 12:54:33,너거들이야 꿈이 이제 없지ㅋ 인생 망한 놈들이 머선 꿈
2024-03-20 12:54:30,🌕  앰창터치 상세분석
2024-03-20 12:53:50,사우디나 가겠지 돈에 미친 새끼인데
2024-03-20 12:53:40,흥민이는 왜 낌?
2024-03-20 12:53:23,짜이단은 요새 멸종했노?
